Structure,Abbreviation,Hemisphere,Level_1,Level_2,Level_3,Level_4,Subdivisions_7,,,
Cingulate_Cortex_Area_24a_prime,A24aPrime,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,,168,1002
Cingulate_Cortex_Area_24b,A24b,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,,169,1003
Cingulate_Cortex_Area_24b_prime,A24bPrime,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,,170,1004
Cingulate_Cortex_Area_29a,A29a,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,,171,1005
Cingulate_Cortex_Area_29b,A29b,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,,172,1006
Cingulate_Cortex_Area_29c,A29c,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,,173,1007
Cingulate_Cortex_Area_30,A30,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,,174,1008
Cingulate_Cortex_Area_32,A32,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,,175,1009
Primary_Auditory_Cortex,Au1,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,6_medial_pallium,1_isocortex,,176,1010
Secondary_Auditory_Cortex_Dorsal_Part,AuD,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,3_temporal_cortex,1_isocortex,,177,1011
Secondary_Auditory_Cortex_Ventral_Part,AuV,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,3_temporal_cortex,1_isocortex,,178,1012
Dorsolateral_Orbital_Cortex,DLO,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,,179,1013
Frontal_Cortex_Area_3,Fr3,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,,180,1014
Frontal_Association_Cortex,FrA,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,,181,1015
Insular_Cortex,Ins,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,4_insular_cortex,1_isocortex,,182,1016
Lateral_Orbital_Cortex,LO,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,,183,1017
Lateral_Parietal_Association_Cortex,LPtA,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,12_parietal_cortex,1_isocortex,,184,1018
Primary_Motor_Cortex,M1,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,,185,1019
Secondary_Motor_Cortex,M2,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,12_parietal_cortex,1_isocortex,,186,1020
Medial_Orbital_Cortex,MO,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,,187,1021
Medial_Parietal_Association_Cortex,MPtA,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,12_parietal_cortex,1_isocortex,,188,1022
Parietal_Cortex_Posterior_Area_Rostral_Part,PtPR,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,12_parietal_cortex,1_isocortex,,189,1023
Primary_Somatosensory_Cortex,S1,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,,190,1024
Primary_Somatosensory_Cortex_Barrel_Field,S1BF,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,,191,1025
Primary_Somatosensory_Cortex_Dysgranular_Zone,S1DZ,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,4_insular_cortex,1_isocortex,,192,1026
Primary_Somatosensory_CortexForelimb_Region,S1FL,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,,193,1027
Primary_Somatosensory_Cortex_Hindlimb_Region,S1HL,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,,194,1028
Primary_Somatosensory_Cortex_Jaw_Region,S1J,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,,195,1029
Primary_Somatosensory_Cortex_Shoulder_Region,S1Sh,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,,196,1030
Primary_Somatosensory_Cortex_Trunk_Region,S1Tr,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,,197,1031
Primary_Somatosensory_Cortex_Upper_Lip_Region,S1ULp,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,,198,1032
Secondary_Somatosensory_Cortex,S2,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,3_temporal_cortex,1_isocortex,,199,1033
Temporal_Association_Cortex,TeA,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,,200,1034
Primary_Visual_Cortex,V1,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,13_occipital_cortex,1_isocortex,,201,1035
Primary_Visual_Cortex_Binocular_Area,V1B,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,13_occipital_cortex,1_isocortex,,202,1036
Primary_Visual_Cortex_Monocular_Area,V1M,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,13_occipital_cortex,1_isocortex,,203,1037
Secondary_Visual_CortexLateral_Area,V2L,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,13_occipital_cortex,1_isocortex,,204,1038
Secondary_Visual_Cortex_Mediolateral_Area,V2ML,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,13_occipital_cortex,1_isocortex,,205,1039
Secondary_Visual_Cortex_Mediomedial_Area,V2MM,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,13_occipital_cortex,1_isocortex,,206,1040
Ventral_Orbital_Cortex,VO,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,,207,1041
Caudomedial_Entorhinal_Cortex,CEnt,Right,1_forebrain,1_secondary_prosencephalon,4_dorsal_pallium,3_temporal_cortex,2_pallium,,208,1042
Dorsal_Intermediate_Entorhinal_Cortex,DIEnt,Right,1_forebrain,1_secondary_prosencephalon,4_dorsal_pallium,3_temporal_cortex,2_pallium,,209,1043
Dorsolateral_Entorhinal_Cortex,DLEnt,Right,1_forebrain,1_secondary_prosencephalon,4_dorsal_pallium,3_temporal_cortex,2_pallium,,210,1044
Medial_Entorhinal_Cortex,MEnt,Right,1_forebrain,1_secondary_prosencephalon,4_dorsal_pallium,3_temporal_cortex,2_pallium,,211,1045
Ventral_Intermediate_Entorhinal_Cortex,VIEnt,Right,1_forebrain,1_secondary_prosencephalon,4_dorsal_pallium,3_temporal_cortex,2_pallium,,212,1046
Claustrum,Cl,Right,1_forebrain,1_secondary_prosencephalon,2_lateral_pallium,7_lateral_pallium,2_pallium,,213,1047
Dorsal_Claustrum,DCl,Right,1_forebrain,1_secondary_prosencephalon,2_lateral_pallium,7_lateral_pallium,2_pallium,,214,1048
Posterolateral_Cortical_Amygdaloid_Area,PLCo,Right,1_forebrain,1_secondary_prosencephalon,2_lateral_pallium,8_pallial_and_subpallial_amygdala,2_pallium,,215,1049
Ventral_Claustrum,VCl,Right,1_forebrain,1_secondary_prosencephalon,2_lateral_pallium,7_lateral_pallium,2_pallium,,216,1050
Hippocampus,Hc,Right,1_forebrain,1_secondary_prosencephalon,3_medial_pallium,6_medial_pallium,2_pallium,,217,1051
Dorsal_Tenia_Tecta,DTT,Right,1_forebrain,1_secondary_prosencephalon,3_medial_pallium,6_medial_pallium,2_pallium,,218,1052
Ectorhinal_Cortex,Ect,Right,1_forebrain,1_secondary_prosencephalon,3_medial_pallium,3_temporal_cortex,2_pallium,,219,1053
Parasubiculum,PaS,Right,1_forebrain,1_secondary_prosencephalon,3_medial_pallium,6_medial_pallium,2_pallium,,220,1054
Perirhinal_Cortex,PRh,Right,1_forebrain,1_secondary_prosencephalon,3_medial_pallium,3_temporal_cortex,2_pallium,,221,1055
Presubiculum,PrS,Right,1_forebrain,1_secondary_prosencephalon,3_medial_pallium,6_medial_pallium,2_pallium,,222,1056
Piriform_Cortex,Pir,Right,1_forebrain,1_secondary_prosencephalon,5_ventral_pallium,12_lateral_pallium,2_pallium,,223,1057
Amygdalopiriform_Transition_Area,APir,Right,1_forebrain,1_secondary_prosencephalon,5_ventral_pallium,15_pallium,2_pallium,,224,1058
Hypothalamus,Hyp,Right,1_forebrain,1_secondary_prosencephalon,8_rostral_secondary_prosencephalon,5_hypothalamus,4_diencephalon,,225,1059
Preoptic_Telencephalon,Pre_Tel,Right,1_forebrain,1_secondary_prosencephalon,8_rostral_secondary_prosencephalon,6_medial_pallium,2_pallium,,226,1060
Subthalamic_Nucleus,Sthal,Right,1_forebrain,1_secondary_prosencephalon,8_caudal_secondary_prosencephalon,5_hypothalamus,4_diencephalon,,227,1061
Septum,SPT,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,8_subpallial_amygdala,3_subpallium,,228,1062
Globus_Pallidus,GP,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,9_pallidum,3_subpallium,,229,1063
Striatum,CPu,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,10_subpallial_septum,3_subpallium,,230,1064
Amygdala,Amy,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,9_pallidum,3_subpallium,,231,1065
Accumbens,Acb,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,14_striatum,3_subpallium,,232,1066
Bed_Nucleus_of_the_Stria_Terminalis,BNst,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,8_pallial_and_subpallial_amygdala,3_subpallium,,233,1067
Ventral_Pallidum,Vpal,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,11_paraseptal_subpallium,3_subpallium,,234,1068
Periaquaductal_Grey,PAG,Right,1_forebrain,2_diencephalon,p1,15_pretectum,4_diencephalon,,235,1069
Anterior_Pretectal_Nucleus,APT,Right,1_forebrain,2_diencephalon,p1,15_pretectum,4_diencephalon,,236,1070
Ventral_Tegmental_Area,VTA,Right,1_forebrain,2_diencephalon,p1,18_tegmentum,4_diencephalon,,237,1071
Thalamus_Rest,Thal_R,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,,238,1072
Ventral_Thalamic_Nuclei,VT,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,,239,1073
Latero_Dorsal_Nucleus_of_Thalamus,LDNT,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,,240,1074
Medial_Geniculate_Nucleus,MGN,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,,241,1075
Lateral_Geniculate_Nucleus,LGN,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,,242,1076
Zona_Incerta,ZI,Right,1_forebrain,2_diencephalon,p3,16_prethalamus,4_diencephalon,,243,1077
Reticular_Nucleus_of_Thalamus,RTN,Right,1_forebrain,2_diencephalon,p3,17_thalamus,4_diencephalon,,244,1078
Subbrachial_Nucleus_and_Peripeduncular_Nucleus,Sub_PP,Right,1_forebrain,2_diencephalon,p3,3_middbrain_tectum,4_diencephalon,,245,1079
Deep_Mesencephalic_Nuclei,DpMe,Right,2_midbrain,combo,p1,1_pretectal_tegmentum,4_diencephalon,,246,1080
Superior_Colliculus,SC,Right,2_midbrain,m1,m1,3_middbrain_tectum,5_midbrain,,247,1081
Inferior_Colliculus,IC,Right,2_midbrain,m1,m1,3_middbrain_tectum,5_midbrain,,248,1082
Substantia_Nigra,SN,Right,2_midbrain,m1,m1,2_midbrain_tegmentum,5_midbrain,,249,1083
Red_Nucleus_Parvicellular,RPC,Right,1_forebrain,2_diencephalon,p1,16_pretectal_tegmentum,5_midbrain,,250,1084
Midbrain_Reticular_Nucleus,MRN,Right,2_midbrain,m1,m1,3_middbrain_tectum,5_midbrain,,251,1085
Rostral_Linear_Nucleus,RI,Right,2_midbrain,m1,m1,2_midbrain_tegmentum,5_midbrain,,252,1086
Cuneiform_Nucleus,Cn,Right,2_midbrain,m2,m2,3_midbrain_tectum,5_midbrain,,253,1087
Precuneiform_Nucleus,PrCn,Right,2_midbrain,m2,m2,3_midbrain_tectum,5_midbrain,,254,1088
Brain_Stem_Rest,BS_R,Right,3_hindbrain,combo,combo,5_combo,6_hindbrain,,255,1089
Interpeduncular_Nucleus,Iped,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,1_pons,6_hindbrain,,256,1090
Cerebellar_Cortex,Cb_1_10,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,2_cerebellum,6_hindbrain,,257,1091
Dentate_(Lateral)_Nucleus_of_Cerebellum,Den,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,2_cerebellum,6_hindbrain,,258,1092
Interposed_Nucleus_of_Cerebellum,Int,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,2_cerebellum,6_hindbrain,,259,1093
Fastigial_Medial_Dorsolateral_Nucleus_of_Cerebellum,FasDL,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,2_cerebellum,6_hindbrain,,260,1094
Fastigial_Medial_Nucleus_of_Cerebellum,FasMed,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,2_cerebellum,6_hindbrain,,261,1095
Ventral_Lateral_Lemniscus_Nucleus,Vll,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,3_pontomedullary_hindbrain,6_hindbrain,,262,1096
Parabrachial_Nucleus,ParB,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,3_pontomedullary_hindbrain,6_hindbrain,,263,1097
Parabrachial_Medial_Nucleus_and_Koelliker_Fuse_Nucleus,KF,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,3_pontomedullary_hindbrain,6_hindbrain,,264,1098
Parvicellular_Reticular_Nucleus_and_Principal_Sensory_Trigeminal_Nucleus,PCRt,Right,3_hindbrain,1_prepontine_hindbrain,r1_and_r2,3_pontomedullary_hindbrain,6_hindbrain,,265,1099
Central_Gray,CG,Right,3_hindbrain,1_prepontine_hindbrain,r1,1_pons,6_hindbrain,,266,1100
Pedunculotegmental_Medial_Paralemniscial_and_Supratrigemnial_Nuclei,Su5,Right,3_hindbrain,1_prepontine_hindbrain,r1,3_pontomedullary_hindbrain,6_hindbrain,,267,1101
Motor_Root_of_Trigeminal_Nerve,m5,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,6_hindbrain,,268,1102
Trigeminal_Motor_Nucleus,5N,Right,3_hindbrain,1_prepontine_hindbrain,r2,3_pontomedullary_hindbrain,6_hindbrain,,269,1103
Pontine_Reticular_Nucleus,PnC,Right,3_hindbrain,1_prepontine_hindbrain,r2,3_pontomedullary_hindbrain,6_hindbrain,,270,1104
Raphe_Nucleus,Raph,Right,3_hindbrain,1_prepontine_hindbrain,r1_and_r2,3_pontomedullary_hindbrain,6_hindbrain,,271,1105
Trigeminal_Sensory_Nucleus,Pr5,Right,3_hindbrain,1_prepontine_hindbrain,r1_and_r2,3_pontomedullary_hindbrain,6_hindbrain,,272,1106
Dorsal_Tegmentum,DTg,Right,3_hindbrain,1_prepontine_hindbrain,r1_and_r2,1_pons,6_hindbrain,,273,1107
Tegmental_Nucleus,Tg,Right,3_hindbrain,2_pontine_hindbrain,r1,1_pons,6_hindbrain,,274,1108
Cochlear_Nucleus,CoN,Right,3_hindbrain,2_pontine_hindbrain,r3,1_pons,6_hindbrain,,275,1109
Pontine_Nucleus,Pn,Right,3_hindbrain,2_pontine_hindbrain,r3_and_r4,1_pons,6_hindbrain,,276,1110
Reticulotegmental_Nucleus_of_Pons,RTg,Right,3_hindbrain,2_pontine_hindbrain,r3_and_r4,1_pons,6_hindbrain,,277,1111
Olivary_Complex,Oliv,Right,3_hindbrain,3_pontomedullary_hindbrain,r5,1_pons,6_hindbrain,,278,1112
Pontine_Reticular_Nucleus,PnRt,Right,3_hindbrain,3_pontomedullary_hindbrain,r5,1_pons,6_hindbrain,,279,1113
Spinal_Trigeminal_Nucleus,Sp5,Right,3_hindbrain,3_pontomedullary_hindbrain,r3_to_r11,1_pons,6_hindbrain,,280,1114
Vestibular_Nuclei,Ve,Right,3_hindbrain,3_pontomedullary_hindbrain,r3_to_r9,1_pons,6_hindbrain,,281,1115
Gigantocellular_Reticular_Nucleus,Gi,Right,3_hindbrain,4_medullary_hindbrain,r6_to_r10,4_medulla,6_hindbrain,,282,1116
Cuneate_Nucleus,Cu,Right,3_hindbrain,4_medullary_hindbrain,r9_to_r10,4_medulla,6_hindbrain,,283,1117
Anterior_Commisure,ac,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,,284,1118
Optic_Tracts,ot,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,,285,1119
Fimbria,fi,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,,286,1120
Corpus_Callosum,cc,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,,287,1121
Fornix,fx,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,,288,1122
Stria_Terminalis,st,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,,289,1123
Cingulum,cg,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,,290,1124
Lateral_Olfactory_Tract,lo,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,,291,1125
Ventral_Hippocampal_Commissure,vhc,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,,292,1126
Internal_Capsule,ic,Right,4_white_matter_tracts,forebrain_white_matter,diencephalon_white_matter,white_matter,7_whitematter,,293,1127
Fasciculus_Retroflexus,fr,Right,4_white_matter_tracts,forebrain_white_matter,diencephalon_white_matter,white_matter,7_whitematter,,294,1128
Stria_Medularis,sm,Right,4_white_matter_tracts,forebrain_white_matter,diencephalon_white_matter,white_matter,7_whitematter,,295,1129
Mamillothalamic_Tract,mt,Right,4_white_matter_tracts,forebrain_white_matter,diencephalon_white_matter,white_matter,7_whitematter,,296,1130
Posterior_Commissure,pc,Right,4_white_matter_tracts,forebrain_white_matter,diencephalon_white_matter,white_matter,7_whitematter,,297,1131
Brachium_of_Superior_Colliculus,bsc,Right,4_white_matter_tracts,midbrain_white_matter,colliculi_white_matter,white_matter,7_whitematter,,298,1132
Cerebral_Peduncle,cp,Right,4_white_matter_tracts,midbrain_white_matter,other_midbrain_white_matter,white_matter,7_whitematter,,299,1133
Lateral_Lemniscus,ll,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,,300,1134
Spinal_Trigeminal_Nerve,sp5,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,,301,1135
Pyramidal_Tract,py,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,,302,1136
Vestibulocochlear_Nerve,n8,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,,303,1137
Facial_Nerve,n7,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,,304,1138
Longitudinal_Fasciculus_of_Pons,lfp,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,,305,1139
Medial_Longitudinal_Fasciculus_and_Tectospinal_Tract,mlf_ts,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,,306,1140
Spinocerebellar_Tract,sc,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,,307,1141
Medial_Lemniscus,ml,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,,308,1142
Ventral_Spinocerebellar_Tract,vsc,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,,309,1143
Middle_Cerebellar_Peduncle,mcp,Right,4_white_matter_tracts,hindbrain_white_matter,cerebellar_white_matter,white_matter,7_whitematter,,310,1144
Superior_Cerebellar_Peduncle,scp,Right,4_white_matter_tracts,hindbrain_white_matter,cerebellar_white_matter,white_matter,7_whitematter,,311,1145
Inferior_Cerebellar_Peduncle,icp_oc_tz,Right,4_white_matter_tracts,hindbrain_white_matter,cerebellar_white_matter,white_matter,7_whitematter,,312,1146
Cerebellar_White_Matter,cbw,Right,4_white_matter_tracts,hindbrain_white_matter,cerebellar_white_matter,white_matter,7_whitematter,,313,1147
Lateral_Ventricle,LV,Right,5_ventricular_system,forebrain,forebrain_CSF,cerebrospinal_fluid,8_CSF,,314,1148
Cingulate_Cortex_Area_25,A25,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,,315,1149
Dorsal_Acustic_Stria,das,Right,4_white_matter_tracts,pontine_hindbrain,axial_hindbrain_white_matter,white_matter,7_whitematter,,316,1150
Postsubiculum,Post,Right,1_forebrain,1_secondary_prosencephalon,3_medial_pallium,6_medial_pallium,2_pallium,,317,1151
Ventricular_System_4thVentricle,4V,Right,5_ventricular_system,hindbrain,hindbrain_CSF,cerebrospinal_fluid,8_CSF,,318,1152
Microcellular_Tegmental_Nucleus,MiTg,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,3_pontomedullary_hindbrain,6_hindbrain,,319,1153
Pretectal_Nucleus,APT,Right,1_forebrain,2_diencephalon,p1,15_pretectum,4_diencephalon,,320,1154
Latero_Dorsal_Thalamic_Nucleus_Ventro_Lateral,LDVL,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,,321,1155
Latero_Posterior_Nuclei_of_Thalamus,LP,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,,322,1156
Anterior_Thalamic_Nuclei,AThal,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,,323,1157
Red_Nucleus_Magnocellular,RMC,Right,2_midbrain,m1,m1,1_pretectal_tegmentum,4_diencephalon,,324,1158
Pararubral_Nucleus,PaR,Right,2_midbrain,m1,p1_and_m1_and_m2,2_midbrain_tegmentum,5_midbrain,,325,1159
Retro_Rubral_Field,RR,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,3_pontomedullary_hindbrain,6_hindbrain,,326,1160
Cerebrospinal_fluid,CSF,Right,5_ventricular_system,combo,combo,CSF,8_CSF,,327,1161
IntermediateReticularNucleus,IRN,Right,3_hindbrain,pontine_hindbrain,,axial_hindbrain_white_matter,6_hindbrain,,328,1162
PosteriorDorsal_ParaventricularMedialParvicellular_Posterior_LateralHypothalamus,PHD_PaMP_Post_and_LatHy,Right,1_forebrain,1_secondary_prosencephalon,8_rostral_secondary_prosencephalon,5_hypothalamus,4_diencephalon,,329,1163
Prerubral_Forel,PR_p3Tg_L,Right,1_forebrain,2_diencephalon,p2_and_p3,17_thalamus,4_diencephalon,,330,1164
PVG_of_Hypothalamus,PVG,Right,1_forebrain,1_secondary_prosencephalon,8_rostral_secondary_prosencephalon,5_hypothalamus,4_diencephalon,,331,1165
Basal Lateral Amygdala,BLA,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,8_pallial_and_subpallial_amygdala,2_pallium,,332,1166
TotalBrain,Brain,Bilateral,,,,,,,333,
